400,0,0.1575
200,0.0825,0.145
133.33,0.085,0.14
100,0.1,0.1375
80,0.105,0.1275
66.667,0.1025,0.1325
57.143,0.1025,0.125
50,0.115,0.125
44.444,0.1175,0.135
40,0.1175,0.135
36.364,0.1125,0.1375
33.333,0.1125,0.1325
30.769,0.1175,0.1375
28.571,0.115,0.135
26.667,0.115,0.1325
25,0.1125,0.13
23.529,0.1125,0.1325
22.222,0.1075,0.1175
21.053,0.1125,0.125
20,0.1025,0.1225
19.048,0.1075,0.1225
18.182,0.1125,0.12
17.391,0.1125,0.125
16.667,0.115,0.1175
16,0.12,0.1225
15.385,0.12,0.1225
14.815,0.1225,0.1225
14.286,0.125,0.12
13.793,0.1225,0.12
13.333,0.1225,0.1175
12.903,0.1225,0.1175
12.5,0.1225,0.1175
12.121,0.1225,0.115
11.765,0.125,0.1175
11.429,0.12,0.1225
11.111,0.125,0.1175
10.811,0.125,0.125
10.526,0.1275,0.1275
10.256,0.1275,0.125
10,0.1275,0.13
9.7561,0.1275,0.125
9.5238,0.1275,0.1225
9.3023,0.1275,0.12
9.0909,0.1325,0.1225
8.8889,0.135,0.1225
8.6957,0.13,0.1275
8.5106,0.1325,0.13
8.3333,0.13,0.1275
8.1633,0.1325,0.13
8,0.13,0.13
7.8431,0.13,0.13
7.6923,0.13,0.1325
7.5472,0.1275,0.13
7.4074,0.1325,0.13
7.2727,0.1325,0.1275
7.1429,0.1275,0.1275
7.0175,0.13,0.1275
6.8966,0.13,0.13
6.7797,0.13,0.13
6.6667,0.13,0.13
6.5574,0.1325,0.13
6.4516,0.13,0.13
6.3492,0.1325,0.1325
6.25,0.1325,0.1325
6.1538,0.1325,0.1325
6.0606,0.1325,0.1325
5.9701,0.1325,0.1325
5.8824,0.1325,0.13
5.7971,0.135,0.13
5.7143,0.135,0.13
5.6338,0.135,0.1275
5.5556,0.135,0.1275
5.4795,0.1325,0.1325
5.4054,0.1325,0.1325
5.3333,0.135,0.1325
5.2632,0.14,0.13
5.1948,0.14,0.135
5.1282,0.1425,0.135
5.0633,0.145,0.135
5,0.1475,0.135
4.9383,0.1475,0.1375
4.878,0.145,0.1375
4.8193,0.1475,0.1375
4.7619,0.1475,0.1375
4.7059,0.1475,0.1425
4.6512,0.145,0.145
4.5977,0.1475,0.145
4.5455,0.1475,0.145
4.4944,0.1475,0.145
4.4444,0.1475,0.1475
4.3956,0.145,0.15
4.3478,0.1475,0.15
4.3011,0.1475,0.1525
4.2553,0.1475,0.15
4.2105,0.145,0.15
4.1667,0.145,0.1475
4.1237,0.1475,0.1525
4.0816,0.1475,0.1525
4.0404,0.1475,0.1525
4,0.15,0.1525
3.9604,0.1475,0.1525
3.9216,0.15,0.1525
3.8835,0.1475,0.1525
3.8462,0.1525,0.155
3.8095,0.1525,0.1575
3.7736,0.155,0.1575
3.7383,0.1575,0.1575
3.7037,0.1575,0.155
3.6697,0.1575,0.155
